Order ID,Created Time,Order List,Total Item,Due Time
Cust00001,2023-02-15 08:00:05.665783271,"[(40, 1), (10, 7), (134, 1)]",9,2023-02-15 08:48:05.665783271
Cust00002,2023-02-15 08:00:07.398859839,"[(245, 1), (132, 1)]",2,2023-02-15 09:24:07.398859839
Cust00003,2023-02-15 08:00:40.568546720,"[(162, 1), (35, 4), (275, 2), (33, 1)]",8,2023-02-15 09:03:40.568546720
Cust00004,2023-02-15 08:00:46.465539355,"[(83, 3)]",3,2023-02-15 09:56:46.465539355
Cust00005,2023-02-15 08:01:26.475494050,"[(330, 1), (302, 2), (264, 4)]",7,2023-02-15 08:54:26.475494050
Cust00006,2023-02-15 08:01:27.971202491,"[(24, 3), (286, 1), (132, 6), (92, 3), (4, 4), (62, 4), (69, 4)]",25,2023-02-15 09:01:27.971202491
Cust00007,2023-02-15 08:01:28.891080047,"[(116, 1), (155, 2), (39, 1)]",4,2023-02-15 09:51:28.891080047
Cust00008,2023-02-15 08:01:44.692705265,"[(148, 10)]",10,2023-02-15 08:45:44.692705265
Cust00009,2023-02-15 08:01:51.196221832,"[(7, 4), (384, 2)]",6,2023-02-15 09:42:51.196221832
Cust00010,2023-02-15 08:01:56.944542219,"[(29, 3), (172, 1)]",4,2023-02-15 09:08:56.944542219
Cust00011,2023-02-15 08:02:05.790641096,"[(185, 2)]",2,2023-02-15 09:52:05.790641096
Cust00012,2023-02-15 08:02:33.959033115,"[(31, 9), (38, 1)]",10,2023-02-15 09:56:33.959033115
Cust00013,2023-02-15 08:02:34.478464289,"[(15, 4)]",4,2023-02-15 08:59:34.478464289
Cust00014,2023-02-15 08:02:50.293354778,"[(38, 1), (94, 6), (164, 1)]",8,2023-02-15 09:44:50.293354778
Cust00015,2023-02-15 08:02:57.789450534,"[(59, 2)]",2,2023-02-15 09:45:57.789450534
Cust00016,2023-02-15 08:02:59.271108292,"[(279, 1), (42, 3), (185, 2), (44, 3)]",9,2023-02-15 09:44:59.271108292
Cust00017,2023-02-15 08:03:02.717909751,"[(33, 1), (123, 1), (70, 3)]",5,2023-02-15 08:44:02.717909751
Cust00018,2023-02-15 08:03:17.528714611,"[(19, 2), (239, 4)]",6,2023-02-15 09:15:17.528714611
Cust00019,2023-02-15 08:03:32.966558712,"[(155, 4)]",4,2023-02-15 09:17:32.966558712
Cust00020,2023-02-15 08:03:39.911357358,"[(9, 2)]",2,2023-02-15 08:56:39.911357358
Cust00021,2023-02-15 08:03:44.829980152,"[(14, 2), (26, 3), (40, 1), (146, 2)]",8,2023-02-15 09:14:44.829980152
Cust00022,2023-02-15 08:03:51.025082170,"[(89, 4), (152, 3)]",7,2023-02-15 09:21:51.025082170
Cust00023,2023-02-15 08:03:52.235325783,"[(208, 3), (215, 4), (198, 1), (95, 7)]",15,2023-02-15 09:39:52.235325783
Cust00024,2023-02-15 08:03:54.168585523,"[(51, 3), (195, 3), (119, 2)]",8,2023-02-15 08:56:54.168585523
Cust00025,2023-02-15 08:03:58.075017859,"[(86, 3), (51, 3), (356, 1)]",7,2023-02-15 08:53:58.075017859
Cust00026,2023-02-15 08:03:59.291994909,"[(78, 1)]",1,2023-02-15 09:14:59.291994909
Cust00027,2023-02-15 08:04:07.704263392,"[(95, 2), (61, 2), (103, 2), (204, 1)]",7,2023-02-15 08:43:07.704263392
Cust00028,2023-02-15 08:04:12.491413065,"[(271, 2), (138, 4)]",6,2023-02-15 09:33:12.491413065
Cust00029,2023-02-15 08:04:33.858981987,"[(216, 1), (343, 2)]",3,2023-02-15 09:57:33.858981987
Cust00030,2023-02-15 08:04:46.901709867,"[(68, 4), (67, 1)]",5,2023-02-15 09:27:46.901709867
Cust00031,2023-02-15 08:04:47.289180862,"[(146, 2), (294, 1), (23, 4), (8, 1)]",8,2023-02-15 08:43:47.289180862
Cust00032,2023-02-15 08:04:49.777297222,"[(30, 2)]",2,2023-02-15 09:24:49.777297222
Cust00033,2023-02-15 08:05:02.815074304,"[(3, 4)]",4,2023-02-15 08:39:02.815074304
Cust00034,2023-02-15 08:05:06.424116257,"[(75, 4), (83, 4), (24, 1), (78, 1), (139, 2), (85, 1), (44, 4)]",17,2023-02-15 09:16:06.424116257
Cust00035,2023-02-15 08:05:09.272768522,"[(133, 2)]",2,2023-02-15 09:02:09.272768522
Cust00036,2023-02-15 08:05:26.566280524,"[(205, 4)]",4,2023-02-15 09:26:26.566280524
Cust00037,2023-02-15 08:05:36.163671488,"[(196, 3), (98, 2), (183, 2)]",7,2023-02-15 08:35:36.163671488
Cust00038,2023-02-15 08:05:50.082482831,"[(71, 1), (8, 4)]",5,2023-02-15 08:46:50.082482831
Cust00039,2023-02-15 08:06:02.074536176,"[(117, 1), (110, 5), (38, 3)]",9,2023-02-15 10:01:02.074536176
Cust00040,2023-02-15 08:06:08.501346013,"[(1, 2), (132, 3)]",5,2023-02-15 09:02:08.501346013
Cust00041,2023-02-15 08:07:03.628736773,"[(79, 4), (12, 4), (236, 1), (247, 2), (4, 2)]",13,2023-02-15 09:48:03.628736773
Cust00042,2023-02-15 08:07:30.347177310,"[(203, 4)]",4,2023-02-15 09:43:30.347177310
Cust00043,2023-02-15 08:07:36.455912062,"[(9, 3)]",3,2023-02-15 09:16:36.455912062
Cust00044,2023-02-15 08:07:51.209502657,"[(6, 1), (77, 1), (19, 1)]",3,2023-02-15 09:16:51.209502657
Cust00045,2023-02-15 08:07:57.147067348,"[(24, 1), (79, 4), (42, 3)]",8,2023-02-15 09:15:57.147067348
Cust00046,2023-02-15 08:08:21.482418992,"[(146, 1)]",1,2023-02-15 09:23:21.482418992
Cust00047,2023-02-15 08:08:36.739443449,"[(6, 3)]",3,2023-02-15 10:03:36.739443449
Cust00048,2023-02-15 08:09:04.358046508,"[(48, 1), (93, 1), (208, 2), (200, 2)]",6,2023-02-15 08:56:04.358046508
Cust00049,2023-02-15 08:09:08.889687875,"[(128, 1), (36, 6)]",7,2023-02-15 09:19:08.889687875
Cust00050,2023-02-15 08:09:27.929981945,"[(206, 3), (49, 3)]",6,2023-02-15 09:28:27.929981945
Cust00051,2023-02-15 08:09:31.097487150,"[(1, 3)]",3,2023-02-15 08:41:31.097487150
